SAMEA num,"sampleID (ENA, PANGAEA)",sampleID (IMIS),run accession MG,run accession 18S,run accession 16S
SAMEA3275610,OSD39_2014-06-19_0.1m_NPL022,OSD39_2014-06_NPL022_1,ERR771009,ERR867743,ERR867744
SAMEA3275611,OSD38_2014-06-20_0m_NPL022,OSD38_2014-06_NPL022_1,ERR771010,ERR867745,ERR867746
SAMEA3275612,OSD37_2014-06-19_1m_NPL022,OSD37_2014-06_NPL022_1,ERR771011,ERR867747,ERR867748
SAMEA3275614,OSD36_2014-06-21_0.5m_NPL022,OSD36_2014-06_NPL022_1,ERR771012,ERR867749,ERR867750
SAMEA3275615,OSD35_2014-06-21_1m_NPL022,OSD35_2014-06_NPL022_1,ERR771013,ERR867751,ERR867752
SAMEA3275616,OSD34_2014-06-21_0m_NPL022,OSD34_2014-06_NPL022_1,ERR771014,ERR867753,ERR867754
SAMEA3275617,OSD33_2014-06-19_1m_NPL022,OSD33_2014-06_NPL022_1,NA,NA,ERR867755
SAMEA3275618,OSD32_2014-06-23_1m_NPL022,OSD32_2014-06_NPL022_1,NA,NA,ERR867756
SAMEA3275619,OSD31_2014-06-23_1m_NPL022,OSD31_2014-06_NPL022_1,NA,NA,ERR867757
SAMEA3275620,OSD29_2014-06-21_0.2m_NPL022,OSD29_2014-06_NPL022_1,ERR771017,ERR867763,ERR867762
SAMEA3275621,OSD28_2014-06-21_0.2m_NPL022,OSD28_2014-06_NPL022_1,ERR771018,ERR867765,ERR867764
SAMEA3275622,OSD26_2014-06-21_0m_NPL022,OSD26_2014-06_NPL022_1,ERR771019,ERR867766,ERR867767
SAMEA3275623,OSD25_2014-06-21_0m_NPL022,OSD25_2014-06_NPL022_1,ERR771020,ERR867769,ERR867768
SAMEA3275624,OSD24_2014-06-21_0m_NPL022,OSD24_2014-06_NPL022_1,ERR771021,ERR867771,ERR867770
SAMEA3275625,OSD22_2014-06-23_1m_NPL022,OSD22_2014-06_NPL022_1,ERR771022,ERR867773,ERR867772
SAMEA3275626,OSD20_2014-06-20_0m_NPL022,OSD20_2014-06_NPL022_1,ERR771024,ERR867777,ERR867776
SAMEA3275627,OSD20_2014-06-20_20m_NPL022,OSD20_2014-06_NPL022_2,ERR771025,ERR867779,ERR867778
SAMEA3275628,OSD19_2014-06-23_2m_NPL022,OSD19_2014-06_NPL022_1,ERR771027,ERR867785,ERR867784
SAMEA3275629,OSD18_2014-06-20_75m_NPL022,OSD18_2014-06_NPL022_1,ERR771033,ERR867799,ERR867798
SAMEA3275630,OSD17_2014-06-20_3m_NPL022,OSD17_2014-06_NPL022_1,ERR771043,ERR867819,ERR867818
SAMEA3275631,OSD15_2014-06-21_50m_NPL022,OSD15_2014-06_NPL022_2,ERR771063,ERR867866,ERR867867
