sampleID_pangea,sampleID_imis,Campaign_pangea,Campaign_imis,Event_pangea,eventID_imis
OSD154_2014-06-20_1m_NPL022,OSD154_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD154_20140620T1120Z ,OSD154_2014-06
OSD155_2014-06-21_12.8m_NPL022,OSD155_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD155_20140621T0700Z ,OSD155_2014-06
OSD155_2014-06-21_1m_NPL022,OSD155_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD155_20140621T0700Z,OSD155_2014-06
OSD156_2014-06-21_11.8m_NPL022,OSD156_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD156_20140621T1000Z ,OSD156_2014-06
OSD156_2014-06-21_1m_NPL022,OSD156_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD156_20140621T1000Z,OSD156_2014-06
OSD157_2014-06-20_1m_NPL022,OSD157_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD157_20140620T0900Z ,OSD157_2014-06
OSD157_2014-06-20_80m_NPL022,OSD157_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD157_20140620T0900Z,OSD157_2014-06
OSD158_2014-06-21_0m_NPL022,OSD158_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD158_20140621T1120Z ,OSD158_2014-06
OSD159_2014-06-19_2m_NE08,OSD159_2014-06_NE08_1,OSD-Jun-2014,OSD2014,OSD159_20140621T1000Z ,OSD159_2014-06
OSD159_2014-06-19_2m_NPL022,OSD159_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD159_20140621T1000Z,OSD159_2014-06
OSD162_2014-06-23_1m_NPL022,OSD162_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD162_20140623T1100Z ,OSD162_2014-06
OSD163_2014-06-20_2m_NPL022,OSD163_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD163_20140620T1200Z ,OSD163_2014-06
OSD164_2014-06-13_2m_NPL022,OSD164_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD164_20140613T1000Z ,OSD164_2014-06
OSD165_2014-06-23_2m_NPL022,OSD165_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD165_20140623T0900Z ,OSD165_2014-06
OSD166_2014-06-21_0.5m_NPL022,OSD166_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD166_20140621T0948Z ,OSD166_2014-06
OSD167_2014-06-21_0.1m_NPL022,OSD167_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD167_20140621T1415Z ,OSD167_2014-06
OSD168_2014-06-21_2m_NPL022,OSD168_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD168_20140621T0915Z ,OSD168_2014-06
OSD169_2014-06-21_0.1m_NPL022,OSD169_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD169_20140621T1149Z ,OSD169_2014-06
OSD17_2014-06-20_3m_NPL022,OSD17_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD17_20140620T0700Z ,OSD17_2014-06
OSD170_2014-06-25_3m_NPL022,OSD170_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD170_20140625T0504Z ,OSD170_2014-06
OSD171_2014-06-25_3m_NPL022,OSD171_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD171_20140625T0423Z ,OSD171_2014-06
OSD172_2014-06-25_3m_NPL022,OSD172_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD172_20140625T0245Z ,OSD172_2014-06
OSD173_2014-06-25_3m_NPL022,OSD173_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD173_20140625T0139Z ,OSD173_2014-06
OSD174_2014-06-25_3m_NPL022,OSD174_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD174_20140625T0047Z ,OSD174_2014-06
OSD175_2014-06-24_3m_NPL022,OSD175_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD175_20140624T1313Z ,OSD175_2014-06
OSD176_2014-06-24_3m_NPL022,OSD176_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD176_20140624T1127Z ,OSD176_2014-06
OSD177_2014-06-24_3m_NPL022,OSD177_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD177_20140624T1035Z ,OSD177_2014-06
OSD178_2014-06-24_3m_NPL022,OSD178_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD178_20140624T2320Z ,OSD178_2014-06
OSD18_2014-06-20_75m_NPL022,OSD18_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD18_20140620T0800Z ,OSD18_2014-06
OSD182_2014-06-24_3m_NPL022,OSD182_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD182_20140624T1316Z ,OSD182_2014-06
